"$dist_1 [mm]","Distance_adjusted","Force_M1.Force_x [newton]","Distance_adjusted","Force_M1.Force_y [newton]","Distance_adjusted","Force_M1.Force_z [newton]"
-40,0,19.1554277057823,0,14.9334165657608,0,-98.591769050844
-39,1,24.5382451023668,1,23.8610277259887,1,-114.680493006545
-38,2,26.1423501622613,2,42.733651838426,2,-76.3472721831611
-37,3,26.3853731993992,3,48.1088878052197,3,-49.5353217280186
-36,4,23.4821003195267,4,52.8975332353634,4,-29.5008858270236
-35,5,24.3649197329794,5,55.8386164675571,5,-10.0585521757189
-34,6,23.4724052281979,6,45.5767871610475,6,8.2100593271377
-33,7,21.4348407847337,7,45.6188052043329,7,19.5931853981459
-32,8,19.3198323200102,8,38.3930496864718,8,33.8137717620098
-31,9,15.4230163955198,9,35.398085669108,9,41.093699062427
-30,10,15.2521331135665,10,19.5518867972485,10,41.6004232731295
-29,11,13.1897177336014,11,13.341204660961,11,38.3244277925313
-28,12,12.1889682655817,12,7.80042307737741,12,33.1120103476309
-27,13,10.174797787961,13,4.74333425322062,13,29.314642376385
-26,14,8.37029319889856,14,2.97089095673782,14,26.3928662897086
-25,15,8.39458116070176,15,1.64390231861015,15,24.3999906238687
-24,16,6.78304155289398,16,0.550495014178175,16,20.2729378656771
-23,17,6.76050401713469,17,-0.30354589394765,17,18.712200362373
-22,18,5.93809192487244,18,0.515258341205804,18,14.9947545890402
-21,19,5.03421745889244,19,-1.64563381458712,19,13.6839166817845
-20,20,4.39307970351505,20,0.0716101401358487,20,12.7926202936169
-19,21,3.71630766658389,21,-1.7358292709882,21,11.406071101486
-18,22,3.54700068831056,22,-1.74316729168995,22,8.41487827567544
-17,23,3.04099230768522,23,-2.06921933411099,23,8.53407990958612
-16,24,3.04865091359368,24,-1.14815699324083,24,8.78207524193444
-15,25,2.64863277447094,25,-0.644439432512623,25,8.94754554061199
-14,26,2.13445127708296,26,-2.20144673407709,26,6.29182984766055
-13,27,1.96873438663445,27,-0.920348984310194,27,5.7895727606452
-12,28,1.77886395868873,28,-0.523433246001121,28,5.53998249583105
-11,29,1.98641942464105,29,-0.323215605546089,29,4.88065421170141
-10,30,1.71417595444289,30,-1.21540192212977,30,4.43740568417398
-9,31,1.47433980155371,31,-0.201406178408184,31,3.53927072807067
-8,32,1.25928584481681,32,-0.220301405801692,32,4.09253071538826
-7,33,1.2454287621354,33,0.178795841026233,33,3.22774796924048
-6,34,0.949838138673267,34,-0.48105218462842,34,3.46061259540101
-5,35,0.912777648792151,35,0.268234785590353,35,2.78284567860621
-4,36,0.753023423138648,36,-1.50246449282811,36,1.42437960089775
-3,37,0.434442399094303,37,-0.0409780135142324,37,2.68470659327441
-2,38,0.760636143331,38,-0.681824863012604,38,1.4067566604905
-1,39,0.800042341215565,39,0.0551322344420648,39,2.31331725999683
0,40,0.563360190858298,40,-0.267254471314574,40,1.43012865970919
